legacy_dept_nm,org_change_id,dept_cd,dept_nm,rule,confidence,note
BDP본부,20261,0200,BDP본부,same,high,이름·의미 유지
CM팀,20261,6110,사업운영팀,merge,medium,관리자 결정 2026-09-18
EM팀,20261,,,unmapped,low,현재 그룹웨어 조직에 없음 — 조직도 실측에서 확정
EPC본부,20261,6110,사업운영팀,merge,medium,관리자 결정 2026-09-18
IT팀,20261,,,unmapped,low,현재 그룹웨어 조직에 없음 — 조직도 실측에서 확정
PM팀,20261,6110,사업운영팀,merge,medium,관리자 결정 2026-09-18
R&D팀,20261,6910,R&D팀,same,high,이름·의미 유지
경영기획부문,20261,1000,경영기획부문,same,high,이름·의미 유지
경영기획팀,20261,1100,경영기획팀,same,high,이름·의미 유지
경영지원부문,20261,3000,경영지원부문,same,high,이름·의미 유지
공정설계팀,20261,6220,공정설계팀,same,high,이름·의미 유지
구매팀,20261,5200,구매팀,same,high,이름·의미 유지
기계설계팀,20261,8100,기계설계팀,same,high,이름·의미 유지
내부회계관리팀,20261,2400,내부회계관리팀,same,high,이름·의미 유지
방산제약사업팀,20261,6110,사업운영팀,merge,medium,관리자 결정 2026-09-18
사업관리1팀,20261,6120,사업관리팀,rename,high,관리자 결정 2026-09-18 — 이름 계승
사업관리2팀,20261,6120,사업관리팀,merge,high,관리자 결정 2026-09-18 — 이름 계승
생산팀,20261,7100,생산팀,same,high,이름·의미 유지
설계부문,20261,6900,설계부문,same,high,이름·의미 유지
스웨덴기술팀,20261,9920,스웨덴법인,merge,medium,역할 유사도 1.00
영업부문,20261,6110,사업운영팀,merge,medium,관리자 결정 2026-09-18
영업팀,20261,6110,사업운영팀,merge,medium,관리자 결정 2026-09-18 · 포털 sales_2026 소유부서 이관 선례와 별개
인사부문,20261,3100,인사부문,same,high,이름·의미 유지
인사팀,20261,3150,인사팀,same,high,이름·의미 유지
자금팀,20261,2300,자금팀,same,high,이름·의미 유지
자재물류팀,20261,7200,자재물류팀,same,high,이름·의미 유지
재무팀,20261,2100,재무팀,same,high,이름·의미 유지
제어설계팀,20261,6210,제어설계팀,same,high,이름·의미 유지
제일엠앤에스,20261,0000,제일엠앤에스,same,high,이름·의미 유지
제일엠앤에스 미국,20261,9930,미국법인,rename,high,역할 유사도 0.94 · 그룹웨어 현직 표기도 동일
제일엠앤에스 스웨덴,20261,9920,스웨덴법인,rename,high,역할 유사도 0.88
제조부문,20261,7000,생산부문,rename,high,역할 유사도 1.00
총무팀,20261,3200,총무팀,same,high,이름·의미 유지
품질팀,20261,7400,품질팀,same,high,이름·의미 유지
프리랜서,20261,,,ignore,high,부서가 아니라 계정 유형
헝가리기술팀,20261,9910,헝가리법인,merge,medium,역할 2종만 — 근거 약함
헝가리지원팀,20261,9910,헝가리법인,merge,medium,ERP 계정 표기 헝가리지원팀 1명
