legacy_dept_nm,role_id,role_nm
경영기획부문,BP_S,1.재무회계_거래처조회권한
경영기획부문,E_BOM_S,9.표준설계_EBOM조회권한
경영기획부문,M_BOM_S,5.생산관리_MBOM조회권한
경영기획부문,MATE_S,4.구매관리_구매일반조회권한
경영기획부문,MRP_S,5.생산관리_MRP 조회권한
경영기획부문,PR_S,4.구매관리_구매요청조회권한
경영기획부문,PRNT_S,5.생산관리_생산실적조회권한
경영기획부문,PROD_IN_S,5.생산관리_생산기준조회권한
경영기획부문,PROD_S,5.생산관리_제조오더조회권한
경영기획부문,SHAR_S,0.공통_공유권한
경영기획부문,STOC_PR_S,6.자재물류_자재출고이동요청조회권한
경영기획부문,STOC_RO_S,6.자재물류_자재물류조회권한
경영기획부문,STOC_S,6.자재물류_재고관리조회권한
경영기획팀,ACCT_BUDGET_AUTH,1.재무회계_예산관리자
경영기획팀,ACCT_ZS,1.재무회계_거래처잔액원장 조회권한
경영기획팀,BP_S,1.재무회계_거래처조회권한
경영기획팀,E_BOM_S,9.표준설계_EBOM조회권한
경영기획팀,ITEM_S,9.표준설계_품목코드조회권한
경영기획팀,M_BOM_S,5.생산관리_MBOM조회권한
경영기획팀,MATE_S,4.구매관리_구매일반조회권한
경영기획팀,MRP_S,5.생산관리_MRP 조회권한
경영기획팀,PR_S,4.구매관리_구매요청조회권한
경영기획팀,PRNT_S,5.생산관리_생산실적조회권한
경영기획팀,PROD_S,5.생산관리_제조오더조회권한
경영기획팀,S_DN_REQ_S,3.영업관리_출하요청조회권한
경영기획팀,SHAR_S,0.공통_공유권한
경영기획팀,STOC_PR_S,6.자재물류_자재출고이동요청조회권한
경영기획팀,STOC_RO_S,6.자재물류_자재물류조회권한
경영기획팀,STOC_S,6.자재물류_재고관리조회권한
경영지원부문,SHAR_S,0.공통_공유권한
공정설계팀,BP_S,1.재무회계_거래처조회권한
공정설계팀,E_BOM_I,9.표준설계_EBOM등록권한
공정설계팀,E_BOM_S,9.표준설계_EBOM조회권한
공정설계팀,ITEM_I,9.표준설계_품목정보등록권한
공정설계팀,ITEM_S,9.표준설계_품목코드조회권한
공정설계팀,M_BOM_I,5.생산관리_MBOM등록권한
공정설계팀,M_BOM_S,5.생산관리_MBOM조회권한
공정설계팀,MATE_S,4.구매관리_구매일반조회권한
공정설계팀,MRP_S,5.생산관리_MRP 조회권한
공정설계팀,PR_I,4.구매관리_구매요청등록권한
공정설계팀,PR_S,4.구매관리_구매요청조회권한
공정설계팀,PROD_S,5.생산관리_제조오더조회권한
공정설계팀,S_DN_REQ_S,3.영업관리_출하요청조회권한
공정설계팀,SHAR_S,0.공통_공유권한
공정설계팀,STOC_PR_S,6.자재물류_자재출고이동요청조회권한
공정설계팀,STOC_RO_S,6.자재물류_자재물류조회권한
공정설계팀,STOC_S,6.자재물류_재고관리조회권한
구매팀,BP_S,1.재무회계_거래처조회권한
구매팀,E_BOM_S,9.표준설계_EBOM조회권한
구매팀,ITEM_S,9.표준설계_품목코드조회권한
구매팀,M_BOM_S,5.생산관리_MBOM조회권한
구매팀,MATE_I,4.구매관리_구매관리등록권한
구매팀,MATE_IN_I,4.구매관리_기준정보등록권한
구매팀,MATE_S,4.구매관리_구매일반조회권한
구매팀,MRP_S,5.생산관리_MRP 조회권한
구매팀,PR_I,4.구매관리_구매요청등록권한
구매팀,PR_S,4.구매관리_구매요청조회권한
구매팀,PROD_S,5.생산관리_제조오더조회권한
구매팀,S_DN_REQ_S,3.영업관리_출하요청조회권한
구매팀,SHAR_S,0.공통_공유권한
구매팀,STOC_PR_I,6.자재물류_자재출고이동요청권한
구매팀,STOC_PR_S,6.자재물류_자재출고이동요청조회권한
구매팀,STOC_RO_S,6.자재물류_자재물류조회권한
구매팀,STOC_S,6.자재물류_재고관리조회권한
기계설계팀,BP_S,1.재무회계_거래처조회권한
기계설계팀,E_BOM_I,9.표준설계_EBOM등록권한
기계설계팀,E_BOM_S,9.표준설계_EBOM조회권한
기계설계팀,ITEM_I,9.표준설계_품목정보등록권한
기계설계팀,ITEM_S,9.표준설계_품목코드조회권한
기계설계팀,M_BOM_I,5.생산관리_MBOM등록권한
기계설계팀,M_BOM_S,5.생산관리_MBOM조회권한
기계설계팀,MATE_S,4.구매관리_구매일반조회권한
기계설계팀,MRP_S,5.생산관리_MRP 조회권한
기계설계팀,PR_I,4.구매관리_구매요청등록권한
기계설계팀,PR_S,4.구매관리_구매요청조회권한
기계설계팀,PROD_S,5.생산관리_제조오더조회권한
기계설계팀,S_DN_REQ_S,3.영업관리_출하요청조회권한
기계설계팀,SHAR_S,0.공통_공유권한
기계설계팀,STOC_PR_S,6.자재물류_자재출고이동요청조회권한
기계설계팀,STOC_RO_S,6.자재물류_자재물류조회권한
기계설계팀,STOC_S,6.자재물류_재고관리조회권한
내부회계관리팀,ACCT_BUDGET_AUTH,1.재무회계_예산관리자
내부회계관리팀,ACCT_J_S,1.재무회계_재무회계조회권한
내부회계관리팀,ACCT_S_A,"1.재무회계_전체모듈 조회 권한(시스템,인사 제외)"
내부회계관리팀,BP_S,1.재무회계_거래처조회권한
내부회계관리팀,E_BOM_S,9.표준설계_EBOM조회권한
내부회계관리팀,ITEM_S,9.표준설계_품목코드조회권한
내부회계관리팀,PR_S,4.구매관리_구매요청조회권한
내부회계관리팀,PROD_S,5.생산관리_제조오더조회권한
내부회계관리팀,S_DN_REQ_S,3.영업관리_출하요청조회권한
내부회계관리팀,SHAR_S,0.공통_공유권한
내부회계관리팀,STOC_PR_S,6.자재물류_자재출고이동요청조회권한
내부회계관리팀,STOC_RO_S,6.자재물류_자재물류조회권한
내부회계관리팀,STOC_S,6.자재물류_재고관리조회권한
방산제약사업팀,BP_S,1.재무회계_거래처조회권한
방산제약사업팀,E_BOM_S,9.표준설계_EBOM조회권한
방산제약사업팀,ITEM_S,9.표준설계_품목코드조회권한
방산제약사업팀,M_BOM_S,5.생산관리_MBOM조회권한
방산제약사업팀,MATE_S,4.구매관리_구매일반조회권한
방산제약사업팀,MRP_S,5.생산관리_MRP 조회권한
방산제약사업팀,PMS_I,7.사업관리_프로젝트등록권한
방산제약사업팀,PMS_S,7.사업관리_프로젝트조회권한
방산제약사업팀,PR_I,4.구매관리_구매요청등록권한
방산제약사업팀,PR_S,4.구매관리_구매요청조회권한
방산제약사업팀,PROD_S,5.생산관리_제조오더조회권한
방산제약사업팀,S_DN_REQ_S,3.영업관리_출하요청조회권한
방산제약사업팀,S_DN_S,6.자재물류_출하조회권한
방산제약사업팀,SHAR_Q,0.공통_설정권한
방산제약사업팀,SHAR_S,0.공통_공유권한
방산제약사업팀,STOC_PR_I,6.자재물류_자재출고이동요청권한
방산제약사업팀,STOC_PR_S,6.자재물류_자재출고이동요청조회권한
방산제약사업팀,STOC_RO_S,6.자재물류_자재물류조회권한
방산제약사업팀,STOC_S,6.자재물류_재고관리조회권한
사업관리1팀,BP_S,1.재무회계_거래처조회권한
사업관리1팀,E_BOM_S,9.표준설계_EBOM조회권한
사업관리1팀,ITEM_S,9.표준설계_품목코드조회권한
사업관리1팀,M_BOM_S,5.생산관리_MBOM조회권한
사업관리1팀,MATE_S,4.구매관리_구매일반조회권한
사업관리1팀,MRP_S,5.생산관리_MRP 조회권한
사업관리1팀,PMS_I,7.사업관리_프로젝트등록권한
사업관리1팀,PMS_S,7.사업관리_프로젝트조회권한
사업관리1팀,PR_I,4.구매관리_구매요청등록권한
사업관리1팀,PR_S,4.구매관리_구매요청조회권한
사업관리1팀,PRNT_S,5.생산관리_생산실적조회권한
사업관리1팀,PROD_S,5.생산관리_제조오더조회권한
사업관리1팀,S_DN_REQ_I,3.영업관리_출하요청등록권한
사업관리1팀,S_DN_REQ_S,3.영업관리_출하요청조회권한
사업관리1팀,S_DN_S,6.자재물류_출하조회권한
사업관리1팀,SHAR_S,0.공통_공유권한
사업관리1팀,STOC_PR_I,6.자재물류_자재출고이동요청권한
사업관리1팀,STOC_PR_S,6.자재물류_자재출고이동요청조회권한
사업관리1팀,STOC_RO_S,6.자재물류_자재물류조회권한
사업관리1팀,STOC_S,6.자재물류_재고관리조회권한
사업관리2팀,BP_S,1.재무회계_거래처조회권한
사업관리2팀,E_BOM_S,9.표준설계_EBOM조회권한
사업관리2팀,ITEM_S,9.표준설계_품목코드조회권한
사업관리2팀,M_BOM_S,5.생산관리_MBOM조회권한
사업관리2팀,MATE_S,4.구매관리_구매일반조회권한
사업관리2팀,MRP_S,5.생산관리_MRP 조회권한
사업관리2팀,PMS_I,7.사업관리_프로젝트등록권한
사업관리2팀,PMS_S,7.사업관리_프로젝트조회권한
사업관리2팀,PR_I,4.구매관리_구매요청등록권한
사업관리2팀,PR_S,4.구매관리_구매요청조회권한
사업관리2팀,PRNT_S,5.생산관리_생산실적조회권한
사업관리2팀,PROD_S,5.생산관리_제조오더조회권한
사업관리2팀,S_DN_REQ_I,3.영업관리_출하요청등록권한
사업관리2팀,S_DN_REQ_S,3.영업관리_출하요청조회권한
사업관리2팀,S_DN_S,6.자재물류_출하조회권한
사업관리2팀,SHAR_S,0.공통_공유권한
사업관리2팀,STOC_PR_I,6.자재물류_자재출고이동요청권한
사업관리2팀,STOC_PR_S,6.자재물류_자재출고이동요청조회권한
사업관리2팀,STOC_RO_S,6.자재물류_자재물류조회권한
사업관리2팀,STOC_S,6.자재물류_재고관리조회권한
생산팀,BP_S,1.재무회계_거래처조회권한
생산팀,E_BOM_S,9.표준설계_EBOM조회권한
생산팀,ITEM_I,9.표준설계_품목정보등록권한
생산팀,ITEM_S,9.표준설계_품목코드조회권한
생산팀,M_BOM_I,5.생산관리_MBOM등록권한
생산팀,M_BOM_S,5.생산관리_MBOM조회권한
생산팀,MATE_IN_2,4.구매관리_구매입고권한
생산팀,MATE_S,4.구매관리_구매일반조회권한
생산팀,MRP_I,5.생산관리_MRP 실행권한
생산팀,MRP_S,5.생산관리_MRP 조회권한
생산팀,PR_I,4.구매관리_구매요청등록권한
생산팀,PR_S,4.구매관리_구매요청조회권한
생산팀,PRNT_I,5.생산관리_생산실적등록권한
생산팀,PRNT_S,5.생산관리_생산실적조회권한
생산팀,PROD_I,5.생산관리_제조오더생성권한
생산팀,PROD_IN_I,5.생산관리_생산기준등록권한
생산팀,PROD_IN_S,5.생산관리_생산기준조회권한
생산팀,PROD_S,5.생산관리_제조오더조회권한
생산팀,S_DN_E,6.자재물류_출하등록(예외)
생산팀,S_DN_REQ_S,3.영업관리_출하요청조회권한
생산팀,S_DN_S,6.자재물류_출하조회권한
생산팀,SHAR_S,0.공통_공유권한
생산팀,STOC_PR_I,6.자재물류_자재출고이동요청권한
생산팀,STOC_PR_S,6.자재물류_자재출고이동요청조회권한
생산팀,STOC_RO_S,6.자재물류_자재물류조회권한
생산팀,STOC_S,6.자재물류_재고관리조회권한
설계부문,BP_S,1.재무회계_거래처조회권한
설계부문,E_BOM_S,9.표준설계_EBOM조회권한
설계부문,ITEM_I,9.표준설계_품목정보등록권한
설계부문,ITEM_S,9.표준설계_품목코드조회권한
설계부문,M_BOM_S,5.생산관리_MBOM조회권한
설계부문,MATE_S,4.구매관리_구매일반조회권한
설계부문,MRP_S,5.생산관리_MRP 조회권한
설계부문,PR_I,4.구매관리_구매요청등록권한
설계부문,PR_S,4.구매관리_구매요청조회권한
설계부문,PRNT_S,5.생산관리_생산실적조회권한
설계부문,PROD_IN_S,5.생산관리_생산기준조회권한
설계부문,PROD_S,5.생산관리_제조오더조회권한
설계부문,S_DN_REQ_S,3.영업관리_출하요청조회권한
설계부문,SHAR_S,0.공통_공유권한
설계부문,STOC_PR_I,6.자재물류_자재출고이동요청권한
설계부문,STOC_PR_S,6.자재물류_자재출고이동요청조회권한
설계부문,STOC_RO_S,6.자재물류_자재물류조회권한
설계부문,STOC_S,6.자재물류_재고관리조회권한
스웨덴기술팀,BP_S,1.재무회계_거래처조회권한
스웨덴기술팀,ITEM_S,9.표준설계_품목코드조회권한
스웨덴기술팀,M_BOM_S,5.생산관리_MBOM조회권한
스웨덴기술팀,MATE_S,4.구매관리_구매일반조회권한
스웨덴기술팀,MRP_S,5.생산관리_MRP 조회권한
스웨덴기술팀,PR_I,4.구매관리_구매요청등록권한
스웨덴기술팀,PR_S,4.구매관리_구매요청조회권한
스웨덴기술팀,PROD_S,5.생산관리_제조오더조회권한
스웨덴기술팀,S_DN_REQ_S,3.영업관리_출하요청조회권한
스웨덴기술팀,S_DN_S,6.자재물류_출하조회권한
스웨덴기술팀,SHAR_S,0.공통_공유권한
스웨덴기술팀,STOC_PR_I,6.자재물류_자재출고이동요청권한
스웨덴기술팀,STOC_PR_S,6.자재물류_자재출고이동요청조회권한
스웨덴기술팀,STOC_RO_S,6.자재물류_자재물류조회권한
스웨덴기술팀,STOC_S,6.자재물류_재고관리조회권한
영업부문,BP_S,1.재무회계_거래처조회권한
영업부문,E_BOM_S,9.표준설계_EBOM조회권한
영업부문,ITEM_I,9.표준설계_품목정보등록권한
영업부문,ITEM_S,9.표준설계_품목코드조회권한
영업부문,M_BOM_S,5.생산관리_MBOM조회권한
영업부문,MATE_S,4.구매관리_구매일반조회권한
영업부문,MRP_S,5.생산관리_MRP 조회권한
영업부문,PMS_I,7.사업관리_프로젝트등록권한
영업부문,PMS_S,7.사업관리_프로젝트조회권한
